speaker,source,segment_id,timestamp,text
"Speaker 1",system_audio,"2a086c10-ae82-406b-a3d1-2b1b9e3f395f",2026-05-24T18:52:47,"prima della terra c'era una nube fredda di gas e polveri era materiale spulso da stelle morte e da antichi"
"Speaker 1",system_audio,"b108100e-b237-4c63-9e3e-a708e3dd4848",2026-05-24T18:53:44,"Il giorno al sole si formò un disco piatto fatto di polveri e frammenti, qui che nasce la terra. Nel disco la polvere non resta polvere. I granelli si urtano, alcuni rimbalzano, altri si..."
"Speaker 1",system_audio,"820c86dd-790f-47f0-b342-787d079b48ad",2026-05-24T18:53:58,"si incollano grazie a forze deboli, con il tempo diventano sassolini, poi rocce, poi oggetti sempre più grandi. Quando un corpo diventa abbastanza massiccio, la sua gravità richiama altro"
"Speaker 1",system_audio,"475c191f-4c4f-4767-b669-cf005ab0f9b2",2026-05-24T18:53:59,"materiale. È un effetto valanga."
"Speaker 1",system_audio,"4bfdfa61-e25f-4820-adad-a564f72199bf",2026-05-24T18:54:42,"Sottotitoli e revisione a cura di QTSS"
"Speaker 1",system_audio,"ba8c8d32-0b0b-4ad3-b048-13fb621e8109",2026-05-24T18:55:16,"Così, in poche decine di milioni di anni, il seme della terra cresce fino a diventare un protopianeta. Durante la crescita,"
"Speaker 1",system_audio,"3f093989-344d-4407-bf28-15d19ece0257",2026-05-24T18:55:48,"ogni into libera energia e scalda il corpo. I materiali pesanti come ferro e nickel scendono verso il centro. I materiali più leggeri restano sopra. Questo processo si"
"Speaker 1",system_audio,"3ab0210b-c8b7-42ae-9427-a034905337b0",2026-05-24T18:55:48,"chiama divinziazione, nasce il nucleo metallico al centro, attorno si forma il mantello roccioso, in alto si abbozza una crosta sottile. Questa separazione spiega due cose fondamentali, primo perché abbiamo"
"Speaker 1",system_audio,"17163b03-128c-41da-aa75-a33fb8a92f40",2026-05-24T18:56:18,"un campo magnetico, secondo, perché la superficie non è metallica ma fatta di silicati, cioè di rocce. Quando la terra era già grande, un altro giovane piacereva"
"Speaker 1",system_audio,"030e381d-5c02-4d20-b68e-2cb72706ac17",2026-05-24T18:56:52,"era grande quasi come Marte, lo chiamiamo Teia. La collisione non fu frontale, fu obbligua. L'impatto strappo materiale dalla parte esterna della terra e da Teia vaporizzava"
"Speaker 1",system_audio,"ae47359c-1fd0-4de0-b117-999489d59495",2026-05-24T18:57:19,"e lanciando in orbita una cintura di detriti incandescenti. La gravità raccolse quei detriti. In poco tempo, forse settimane o mesi, si compattarono in un unico grande corpo. Nacque la Luna."
"Speaker 1",system_audio,"5ef2f103-5867-4238-8702-db92a5f369d2",2026-05-24T18:57:29,"La Luna, appena nata, era molto più vicina alla Terra di oggi, forse 15-20 volte più grande nel cielo. Immagina una Luna enorme, rossa, che riempie metà del cielo notturno, poi..."
"Speaker 1",system_audio,"9a14d690-1934-44af-9952-0712dc306d43",2026-05-24T18:57:29,"lentamente si è allontanata fino alla distanza attuale. La Luna stabilizzò l'inclinazione dell'asse terrestre. Senza questa stabilità, il clima avrebbe oscillato in modo chaotico."
"Speaker 1",system_audio,"0656a4fb-a89b-41c7-a0c6-05b0f479a3fb",2026-05-24T18:57:30,"Con la lua invece, il ritmo delle stagioni, divenne più regolare. Questo, fu decisivo per il futuro della vita."
"Speaker 1",system_audio,"ad3f8a9f-c041-4b6c-84c1-d92c148ec9fc",2026-05-24T18:57:57,"dopo l'impatto"
"Speaker 1",system_audio,"e285711b-a2ba-4284-ad5d-fed953f7681d",2026-05-24T19:02:05,"Sottotitoli e revisione a cura di QTSS"

timestamp,description,assignee,status

